
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
00-0001                          R26                               25   1      1   1   1 1           1 0 VCC12V              (362-3-13)
00-0001                          R26                               25   1      2   1   1 2           2 0 XSIG040065          (340-2-13)
00-0038                          R44                              122   1      1   1   1 1           1 0 RMII_REF_CLK        (20-22-13)
00-0038                          R44                              122   1      2   1   1 2           2 0 XSIG020172          (330-10-13)
00-0078                          R11                              116   1      1   1   1 1           1 0 VCC                 (20-2-13)
00-0078                          R11                              116   1      2   1   1 2           2 0 ETH_MDIO            (20-27-13)
00-0081                          R32                               70   1      1   1   1 1           1 0 XSIG030214          (20-87-13)
00-0081                          R32                               70   1      2   1   1 2           2 0 XSIG030207          (20-84-13)
00-0081                          R34                               69   1      1   1   1 1           1 0 XSIG030223          (20-90-13)
00-0081                          R34                               69   1      2   1   1 2           2 0 XSIG030217          (20-88-13)
00-0086                          R28                               66   1      1   1   1 1           1 0 XSIG030207          (20-84-13)
00-0086                          R28                               66   1      2   1   1 2           2 0 AUDIO_L             (216-3-13)
00-0086                          R30                               65   1      1   1   1 1           1 0 XSIG030217          (20-88-13)
00-0086                          R30                               65   1      2   1   1 2           2 0 AUDIO_R             (216-2-13)
00-0090                          R2                                37   1      1   1   1 1           1 0 VCC                 (20-2-13)
00-0090                          R2                                37   1      2   1   1 2           2 0 LASERS_MUTE         (20-60-13)
00-0098                          R3                                14   1      1   1   1 1           1 0 VCC                 (20-2-13)
00-0098                          R3                                14   1      2   1   1 2           2 0 RMII_CRS_DV         (20-23-13)
00-0098                          R4                                13   1      1   1   1 1           1 0 XSIG020150          (330-4-13)
00-0098                          R4                                13   1      2   1   1 2           2 0 GND                 (20-1-13)
00-0098                          R5                                15   1      1   1   1 1           1 0 VCC                 (20-2-13)
00-0098                          R5                                15   1      2   1   1 2           2 0 RMII_RX_D1          (330-8-13)
00-0098                          R6                                16   1      1   1   1 1           1 0 VCC                 (20-2-13)
00-0098                          R6                                16   1      2   1   1 2           2 0 RMII_RX_D0          (330-19-13)
00-0098                          R7                                17   1      1   1   1 1           1 0 XSIG020212          (330-20-13)
00-0098                          R7                                17   1      2   1   1 2           2 0 GND                 (20-1-13)
00-0098                          R8                                10   1      1   1   1 1           1 0 VCC                 (20-2-13)
00-0098                          R8                                10   1      2   1   1 2           2 0 SD_CMD              (20-38-13)
00-0098                          R9                                11   1      1   1   1 1           1 0 VCC                 (20-2-13)
00-0098                          R9                                11   1      2   1   1 2           2 0 SD_D3               (20-36-13)
00-0098                          R10                               12   1      1   1   1 1           1 0 VCC                 (20-2-13)
00-0098                          R10                               12   1      2   1   1 2           2 0 SD_CK               (20-37-13)
00-0098                          R42                               18   1      1   1   1 1           1 0 XSIG030332          (378-1-13)
00-0098                          R42                               18   1      2   1   1 2           2 0 GND                 (20-1-13)
00-0098                          R47                               19   1      1   1   1 1           1 0 XSIG030338          (378-3-13)
00-0098                          R47                               19   1      2   1   1 2           2 0 GND                 (20-1-13)
00-0098                          R48                               20   1      1   1   1 1           1 0 XSIG030344          (378-5-13)
00-0098                          R48                               20   1      2   1   1 2           2 0 GND                 (20-1-13)
00-0104                          R43                              103   1      1   1   1 1           1 0 VCC                 (20-2-13)
00-0104                          R43                              103   1      2   1   1 2           2 0 XSIG040098          (134-22-13)
00-0122                          R17                               58   1      1   1   1 1           1 0 VCC                 (20-2-13)
00-0122                          R17                               58   1      2   1   1 2           2 0 XSIG030268          (108-7-13)
00-0129                          R33                               72   1      1   1   1 1           1 0 GND                 (20-1-13)
00-0129                          R33                               72   1      2   1   1 2           2 0 XSIG030208          (20-85-13)
00-0129                          R35                               71   1      1   1   1 1           1 0 GND                 (20-1-13)
00-0129                          R35                               71   1      2   1   1 2           2 0 XSIG030219          (20-89-13)
00-0134                          R29                               68   1      1   1   1 1           1 0 XSIG030317          (274-1-13)
00-0134                          R29                               68   1      2   1   1 2           2 0 XSIG030208          (20-85-13)
00-0134                          R31                               67   1      1   1   1 1           1 0 XSIG030317          (274-1-13)
00-0134                          R31                               67   1      2   1   1 2           2 0 XSIG030219          (20-89-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
01-0164                          R15                              118   1      1   1   1 1           1 0 VDDA_ETH            (330-14-13)
01-0164                          R15                              118   1      2   1   1 2           2 0 XSIG020194          (330-16-13)
01-0164                          R16                              119   1      1   1   1 1           1 0 VDDA_ETH            (330-14-13)
01-0164                          R16                              119   1      2   1   1 2           2 0 XSIG020192          (330-15-13)
01-0164                          R18                              120   1      1   1   1 1           1 0 VDDA_ETH            (330-14-13)
01-0164                          R18                              120   1      2   1   1 2           2 0 XSIG020196          (330-17-13)
01-0164                          R19                              121   1      1   1   1 1           1 0 VDDA_ETH            (330-14-13)
01-0164                          R19                              121   1      2   1   1 2           2 0 XSIG020198          (330-18-13)
01-0214                          R22                              106   1      1   1   1 1           1 0 XSIG030262          (93-15-13)
01-0214                          R22                              106   1      2   1   1 2           2 0 XSIG030261          (93-14-13)
01-0243                          R45                              123   1      1   1   1 1           1 0 GND                 (20-1-13)
01-0243                          R45                              123   1      2   1   1 2           2 0 XSIG020154          (330-6-13)
01-0243                          R46                              124   1      1   1   1 1           1 0 GND                 (20-1-13)
01-0243                          R46                              124   1      2   1   1 2           2 0 XSIG020152          (330-5-13)
01-0339                          R38                               61   1      1   1   1 1           1 0 XSIG030279          (134-4-13)
01-0339                          R38                               61   1      2   1   1 2           2 0 GND                 (20-1-13)
01-0339                          R39                               62   1      1   1   1 1           1 0 GALVA_X             (20-18-13)
01-0339                          R39                               62   1      2   1   1 2           2 0 XSIG030281          (134-5-13)
01-0339                          R40                               60   1      1   1   1 1           1 0 XSIG030297          (134-9-13)
01-0339                          R40                               60   1      2   1   1 2           2 0 GND                 (20-1-13)
