
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
00-0038                          R9                               106   1      1   1   1 1           1 0 RMII_REF_CLK        (20-22-13)
00-0038                          R9                               106   1      2   1   1 2           2 0 XSIG020135          (93-10-13)
00-0078                          R10                               29   1      1   1   1 1           1 0 VCC                 (20-2-13)
00-0078                          R10                               29   1      2   1   1 2           2 0 ETH_MDIO            (20-27-13)
00-0078                          R44                               30   1      1   1   1 1           1 0 VCC                 (20-2-13)
00-0078                          R44                               30   1      2   1   1 2           2 0 RMII_CRS_DV         (20-23-13)
00-0081                          R32                               80   1      1   1   1 1           1 0 XSIG030214          (20-87-13)
00-0081                          R32                               80   1      2   1   1 2           2 0 XSIG030207          (20-84-13)
00-0081                          R33                               82   1      1   1   1 1           1 0 GND                 (20-1-13)
00-0081                          R33                               82   1      2   1   1 2           2 0 XSIG030208          (20-85-13)
00-0081                          R34                               83   1      1   1   1 1           1 0 XSIG030223          (20-90-13)
00-0081                          R34                               83   1      2   1   1 2           2 0 XSIG030217          (20-88-13)
00-0081                          R35                               81   1      1   1   1 1           1 0 GND                 (20-1-13)
00-0081                          R35                               81   1      2   1   1 2           2 0 XSIG030219          (20-89-13)
00-0086                          R28                               76   1      1   1   1 1           1 0 XSIG030207          (20-84-13)
00-0086                          R28                               76   1      2   1   1 2           2 0 AUDIO_L             (216-3-13)
00-0086                          R29                               78   1      1   1   1 1           1 0 VCC1_65             (20-86-13)
00-0086                          R29                               78   1      2   1   1 2           2 0 XSIG030208          (20-85-13)
00-0086                          R30                               79   1      1   1   1 1           1 0 XSIG030217          (20-88-13)
00-0086                          R30                               79   1      2   1   1 2           2 0 AUDIO_R             (216-2-13)
00-0086                          R31                               77   1      1   1   1 1           1 0 VCC1_65             (20-86-13)
00-0086                          R31                               77   1      2   1   1 2           2 0 XSIG030219          (20-89-13)
00-0090                          R2                                27   1      1   1   1 1           1 0 VCC5V_p03           (108-4-13)
00-0090                          R2                                27   1      2   1   1 2           2 0 LASERS_MUTE         (20-60-13)
00-0098                          R8                                31   1      1   1   1 1           1 0 LED2                (20-50-13)
00-0098                          R8                                31   1      2   1   1 2           2 0 GND                 (20-1-13)
00-0098                          R11                               32   1      1   1   1 1           1 0 VCC                 (20-2-13)
00-0098                          R11                               32   1      2   1   1 2           2 0 XSIG020137          (108-2-13)
00-0104                          R43                              113   1      1   1   1 1           1 0 VCC                 (20-2-13)
00-0104                          R43                              113   1      2   1   1 2           2 0 XSIG040098          (134-22-13)
00-0122                          R17                               69   1      1   1   1 1           1 0 VCC5V_p03           (108-4-13)
00-0122                          R17                               69   1      2   1   1 2           2 0 XSIG030268          (108-7-13)
01-0097                          R14                               33   1      1   1   1 1           1 0 RMII_RXD0           (20-24-13)
01-0097                          R14                               33   1      2   1   1 2           2 0 XSIG020113          (20-56-13)
01-0097                          R15                               34   1      1   1   1 1           1 0 RMII_RXD1           (20-25-13)
01-0097                          R15                               34   1      2   1   1 2           2 0 XSIG020116          (20-57-13)
01-0097                          R16                               35   1      1   1   1 1           1 0 RMII_CRS_DV         (20-23-13)
01-0097                          R16                               35   1      2   1   1 2           2 0 XSIG020117          (20-58-13)
01-0214                          R22                              115   1      1   1   1 1           1 0 XSIG030262          (93-15-13)
01-0214                          R22                              115   1      2   1   1 2           2 0 XSIG030261          (93-14-13)
01-0243                          R18                               39   1      1   1   1 1           1 0 XSIG020100          (20-54-13)
01-0243                          R18                               39   1      2   1   1 2           2 0 GND                 (20-1-13)
01-0243                          R19                               40   1      1   1   1 1           1 0 XSIG020132          (93-9-13)
01-0243                          R19                               40   1      2   1   1 2           2 0 GND                 (20-1-13)
01-0339                          R38                               71   1      1   1   1 1           1 0 XSIG030279          (134-4-13)
01-0339                          R38                               71   1      2   1   1 2           2 0 GND                 (20-1-13)
01-0339                          R39                               72   1      1   1   1 1           1 0 GALVA_X             (20-18-13)
01-0339                          R39                               72   1      2   1   1 2           2 0 XSIG030281          (134-5-13)
01-0339                          R40                               70   1      1   1   1 1           1 0 XSIG030297          (134-9-13)
01-0339                          R40                               70   1      2   1   1 2           2 0 GND                 (20-1-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
01-0339                          R41                               73   1      1   1   1 1           1 0 GALVA_Y             (20-19-13)
01-0339                          R41                               73   1      2   1   1 2           2 0 XSIG030299          (134-10-13)
01-0385                          R1                                57   1      1   1   1 1           1 0 XSIG030281          (134-5-13)
01-0385                          R1                                57   1      2   1   1 2           2 0 GALVA_DRIVERX_IN-   (20-68-13)
01-0385                          R12                               56   1      1   1   1 1           1 0 VCC5V_p03           (108-4-13)
01-0385                          R12                               56   1      2   1   1 2           2 0 XSIG030279          (134-4-13)
01-0385                          R13                               62   1      1   1   1 1           1 0 XSIG030284          (134-6-13)
01-0385                          R13                               62   1      2   1   1 2           2 0 GALVA_DRIVERX_IN+   (20-63-13)
01-0385                          R20                               58   1      1   1   1 1           1 0 XSIG030284          (134-6-13)
01-0385                          R20                               58   1      2   1   1 2           2 0 GALVA_DRIVERX_IN-   (20-68-13)
01-0385                          R21                               60   1      1   1   1 1           1 0 XSIG030299          (134-10-13)
01-0385                          R21                               60   1      2   1   1 2           2 0 GALVA_DRIVERX_IN-   (20-68-13)
01-0385                          R23                               55   1      1   1   1 1           1 0 VCC5V_p03           (108-4-13)
01-0385                          R23                               55   1      2   1   1 2           2 0 XSIG030297          (134-9-13)
01-0385                          R24                               61   1      1   1   1 1           1 0 XSIG030303          (134-11-13)
01-0385                          R24                               61   1      2   1   1 2           2 0 GALVA_DRIVERX_IN+   (20-63-13)
01-0385                          R25                               59   1      1   1   1 1           1 0 XSIG030303          (134-11-13)
01-0385                          R25                               59   1      2   1   1 2           2 0 GALVA_DRIVERX_IN-   (20-68-13)
